theme,subtheme,concept_definition,strict_keywords,aliases,excludes,automatic_count,manual_check_required,likely_noisy_terms
Strategic Leadership,Founder/ownership mentality,Stem-aware lexical evidence of founder/ownership mentality within strategic leadership.,"founder, ownership, owner, day 1, day one, entrepreneurial, long-term owner, builder","builders, entrepreneur, entrepreneurs, entrepreneurship, founded, founders, founding, owners",found,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Strategic Leadership,Ambidexterity/tension,Stem-aware lexical evidence of ambidexterity/tension within strategic leadership.,"ambidextrous, paradox, trade-off, tradeoff, tension, dual mandate, dual, both","ambidexterity, paradoxes, paradoxical, tensions",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Strategic Leadership,Boldness/discipline,Stem-aware lexical evidence of boldness/discipline within strategic leadership.,"bold, disciplined, conviction, decisive, high standards, capital discipline","boldly, boldness, convictions, decisively, decisiveness, discipline, disciplines","decision, decisions",stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Strategic Leadership,Stewardship/accountability,Stem-aware lexical evidence of stewardship/accountability within strategic leadership.,"stewardship, accountable, responsible, safety, trust, integrity","accountability, responsibilities, responsibility, responsibly, steward, stewards, trusted, trusting, trusts","account, accounting, accounts",stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Strategic Leadership,Managerial control,Stem-aware lexical evidence of managerial control within strategic leadership.,"efficient, productive, cost control, process, govern","efficiencies, efficiency, efficiently, governance, governed, governing, processes, productively, productivity","government, governments, processed, processing, processor, processors, product, production, productions, products",stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Horizon Scanning / Sense-making,Disruption/uncertainty,Stem-aware lexical evidence of disruption/uncertainty within horizon scanning / sense-making.,"disrupt, uncertain, volatile, turbulent, crisis, shock","crises, disruption, disruptions, disruptive, disruptor, shocked, shocks, turbulence, uncertainties, uncertainty, volatilities, volatility",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Horizon Scanning / Sense-making,Future orientation,Stem-aware lexical evidence of future orientation within horizon scanning / sense-making.,"future, long-term, long term, decade, emerge, tomorrow, next wave, next decade, day 2, day two, foresight, foresee, signal, wander, transform, foundation","decades, emerged, emergent, emerges, emerging, foresaw, foreseeable, foreseeing, foreseen, foresees, foundational, foundations, futures, signaled, signaling, signalled, signalling, signals, transformation, transformational, transformations, transformative, transformed, transforming, transforms, wandered, wandering, wanders",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Horizon Scanning / Sense-making,Discovery/exploration,Stem-aware lexical evidence of discovery/exploration within horizon scanning / sense-making.,"discover, explore, learn, opportunity, option, experiment","discovered, discoveries, discovering, discovery, experimental, experimentation, experimented, experiments, exploration, exploratory, explored, explorer, exploring, learned, learner, learners, learning, learns, opportunities, optional, optionality, options","experience, experienced, experiences, experiencing",stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Horizon Scanning / Sense-making,Technology transition,Stem-aware lexical evidence of technology transition within horizon scanning / sense-making.,"artificial intelligence, AI, generative AI, gen AI, machine learning, deep learning, neural network, neural networks, large language model, LLM, foundation model, artificial general intelligence, AGI, AI factory, AI infrastructure, cloud, GPU, energy transition, digital, automate, electrify","automated, automatic, automating, automation, digitalization, digitally, digitization, digitized, electric, electrification, electrified",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
Horizon Scanning / Sense-making,External environment,Stem-aware lexical evidence of external environment within horizon scanning / sense-making.,"regulate, geopolitical, macro, policy, commodity, competition","commodities, compete, competes, competing, competitions, competitive, competitor, competitors, geopolitics, policies, regulated, regulation, regulations, regulator, regulators, regulatory",,stem_match_with_curated_aliases_and_excludes,yes,"leadership, growth, platform, resilience, value, capital"
