company,era,explore_exploit_diagnosis,dominant_ipm,evidence,interpretation
Amazon,1997 Bezos founder doctrine,"Near-balanced lexical mix, exploratory strategic posture.","Purpose, Vision, and Governance","Purpose/Vision/Governance 17.640 per 1,000; customer 25 vs shareholder 4; 'focus relentlessly on our customers'.",Customer purpose legitimates bold long-term investment and early platform exploration.
Amazon,2016 Bezos anti-Day-2 discipline,Exploratory leaning in strict lexical pair.,Purpose plus Agile Execution,"Customer share 1.000; 'experiment patiently, accept failures, plant seeds'.",Day 1 becomes an anti-bureaucracy system for entrepreneurial behavior at scale.
Amazon,2021-2025 Jassy reinvention,"Ambidextrous: platform exploitation funds AI, robotics, AWS, chips, and satellite exploration.",Options and Agile Execution,2021 Options 8.229; 2025 Horizon 7.096 and Execution 6.137; 'AI is not a standalone initiative-it's a multiplier'.,"The mature firm uses speed, infrastructure, and selective investment to keep Day 1 operating inside a large organization."
Nvidia,2017-2018 GPU platform emergence,Exploratory technology-wave recognition.,Horizon Scanning / Sense-making,2017 Horizon 19.334; 'GPU computing has arrived'.,Leadership identifies GPU computing as the next general-purpose architecture.
Nvidia,2020-2023 AI expansion,Ambidextrous ecosystem expansion.,Horizon Scanning with Options,"Horizon above 20 per 1,000 in 2020, 2021, 2022, and 2023; 'Graphics. Accelerated Computing. AI'.","The company converts horizon sensing into software, data-center, edge, and autonomous-system options."
Nvidia,2025 AI infrastructure,Exploitative lexical shift inside an exploratory AI frontier.,Horizon Scanning plus Execution,2025 Horizon 37.419; exploit count 41; 'AI infrastructure platform'.,"AI becomes a scaled infrastructure business, so execution and monetization become as visible as frontier language."
Shell,2014-2016 van Beurden portfolio discipline,Exploitative discipline with acquisition-led renewal.,Strategic Options / Choices,2016 Options 9.494; exploit 11 vs explore 1; 'Strict capital discipline' and BG as growth accelerator.,"Shell uses portfolio restructuring, LNG, deep water, and capital allocation as entrepreneurship mechanisms."
Shell,2020 Powering Progress reset,Ambidextrous transition legitimacy.,"Purpose, Vision, and Governance","2020 Purpose 17.637; customer 10 vs shareholder 9; 'generating shareholder value, achieving net-zero emissions'.","The firm attempts to reconcile shareholders, customers, society, and net-zero commitments."
Shell,2022-2025 Sawan performance transition,Selective exploration under stricter exploitation discipline.,Agile Execution / Governance,"2025 Execution 3.529; customer share 0.778; 'performance, discipline and simplification'.","Lower-carbon options remain, but the letter narrows them to attractive business models and advantaged assets."
Chevron,2013 Watson operational baseline,Strongly exploitative.,Agile Execution / Operational discipline,Explore 4 vs exploit 9 in 583 words; 'Operational Excellence'.,"Innovation is framed primarily as safety, reliability, and execution discipline."
Chevron,2018 Wirth disciplined renewal,Exploitative core with visible option creation.,Agile Execution plus Options,2018 Agile Execution 6.223; 'Future Energy Fund' and 'energy enables human progress'.,Chevron adds venture-style and digital options without dislodging operating culture.
Chevron,2020-2024 returns/lower-carbon,Disciplined adjacency-based ambidexterity.,Purpose plus Options,"2021 Purpose and Options both 8.252; 'higher returns, lower carbon'; 2024 'strategy remains consistent'.",The company adds lower-carbon and technology adjacencies while preserving continuity and shareholder-return discipline.
