company,year,strategic_phase,inclusion_rationale
Amazon,1997,Founder doctrine / IPO-era scaling,"Earliest canonical shareholder letter; establishes Day 1, customer obsession, long-term investment, and market-leadership logic."
Amazon,2016,Mature Bezos / anti-Day-2 doctrine,Best compact statement of how Amazon tries to preserve entrepreneurial behavior inside a large organization.
Amazon,2020,Pandemic scale and stakeholder value,"Shows mature-platform outcomes: Prime, AWS, Marketplace, Alexa, employees, sellers, and shareholder value."
Amazon,2021,Jassy CEO transition,Captures leadership transition and explicit speed/experimentation mechanisms under Andy Jassy.
Amazon,2022,Post-pandemic discipline and portfolio adjustment,Adds evidence of adjustment after rapid expansion; useful for exploit/explore tension.
Amazon,2024,AI and organizational speed,"Shows Jassy-era emphasis on AI, delivery speed, and execution discipline."
Amazon,2025,AI/platform reinvention,Most explicit selected Amazon letter on AI as a multiplier and on capex-intensive reinvention.
Nvidia,2017,GPU computing inflection,Captures the emergence of GPU computing and early AI/data-center strategic framing.
Nvidia,2018,Platform expansion,"Shows continuation from GPU leadership into gaming, data center, professional visualization, and autonomous/robotics options."
Nvidia,2020,AI platform broadening,Contains explicit Graphics / Accelerated Computing / AI architecture and full-stack platform language.
Nvidia,2021,Data-center ecosystem and Arm ambition,"Captures data-center-as-computer logic, ecosystem expansion, and major strategic-option ambition."
Nvidia,2022,"Omniverse, robotics, automotive and developer scale",Selected after CEO-letter audit; provides stronger signed CEO/stakeholder text than earlier alternatives.
Nvidia,2023,Generative AI acceleration,Captures ChatGPT/generative-AI sense-making and market-expansion narrative.
Nvidia,2025,AI infrastructure company,Most explicit selected Nvidia letter on full-stack AI infrastructure and scaled execution outcomes.
Shell,2014,van Beurden early discipline,"Establishes the post-transition CEO frame around portfolio focus, efficiency, and integrated-energy discipline."
Shell,2015,BG acquisition decision,Captures the strategic rationale for BG and the oil-price downturn context.
Shell,2016,BG integration and portfolio reshaping,"Shows acquisition integration, LNG/deep-water growth, divestments, and capital discipline in one letter."
Shell,2020,Powering Progress / net-zero reset,"Captures the strongest purpose/governance reset around net-zero, customers, shareholders, and pandemic context."
Shell,2022,Transition leadership handoff,Bridges van Beurden to Sawan and captures energy-security/transition tension after geopolitical shock.
Shell,2024,Sawan performance discipline,"Shows the move from broad transition language toward performance, discipline, simplification, and selective capital allocation."
Shell,2025,Integrated energy with tighter targets,"Provides concrete outcome anchors for cost reductions, LNG sales, emissions targets, and shareholder distributions."
Chevron,2013,Watson operational baseline,Provides the earliest selected Chevron operational-excellence baseline for comparison with later lower-carbon language.
Chevron,2018,Wirth early renewal,"Captures Future Energy Fund, digital/technology language, and operational-culture continuity under Wirth."
Chevron,2020,"Pandemic, Noble acquisition, capital discipline","Shows resilience, acquisition-led strengthening, and lower-carbon options under severe market stress."
Chevron,2021,"Higher returns, lower carbon",Best concise statement of Chevron's main strategic formula and New Energies agenda.
Chevron,2022,Energy security and lower-carbon investment,Adds geopolitical/energy-demand pressure and lower-carbon capital-investment commitment.
Chevron,2023,"Returns, Permian, renewable fuels, CCS",Shows scaling of core production and lower-carbon adjacencies after the 2021 strategy frame.
Chevron,2024,Record production and continuity,"Captures recent continuity: record production, stockholder returns, Hess/PDC portfolio moves, AI-related demand and lower-carbon projects."
