theme,subtheme,keyword,Amazon,Nvidia,Shell,Chevron,Total
Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",4,8,0,0,12
Strategic Leadership,Founder/ownership mentality,ownership,1,0,0,0,1
Strategic Leadership,Founder/ownership mentality,owner [owners],11,0,0,0,11
Strategic Leadership,Founder/ownership mentality,day 1,13,0,0,0,13
Strategic Leadership,Founder/ownership mentality,day one,1,0,0,0,1
Strategic Leadership,Founder/ownership mentality,builder [builders],12,1,0,0,13
Strategic Leadership,Ambidexterity/tension,tension [tensions],1,1,0,2,4
Strategic Leadership,Ambidexterity/tension,both,14,2,4,8,28
Strategic Leadership,Boldness/discipline,"bold [boldly, boldness]",4,0,0,0,4
Strategic Leadership,Boldness/discipline,"disciplined [discipline, disciplines]",0,2,14,10,26
Strategic Leadership,Boldness/discipline,conviction [convictions],5,0,2,0,7
Strategic Leadership,Boldness/discipline,"decisive [decisiveness, decisively] !decision, decisions",1,1,1,0,3
Strategic Leadership,Boldness/discipline,high standards,3,0,0,0,3
Strategic Leadership,Boldness/discipline,capital discipline,0,0,3,1,4
Strategic Leadership,Stewardship/accountability,"accountable [accountability] !account, accounts, accounting",2,0,0,1,3
Strategic Leadership,Stewardship/accountability,"responsible [responsibility, responsibly, responsibilities]",6,11,3,5,25
Strategic Leadership,Stewardship/accountability,safety,8,13,13,9,43
Strategic Leadership,Stewardship/accountability,"trust [trusted, trusting, trusts]",4,0,4,6,14
Strategic Leadership,Stewardship/accountability,integrity,0,0,2,1,3
Strategic Leadership,Managerial control,"efficient [efficiency, efficiencies, efficiently]",7,8,7,10,32
Strategic Leadership,Managerial control,"productive [productivity, productively] !product, products, production, productions",7,8,0,1,16
Strategic Leadership,Managerial control,"process [processes] !processor, processors, processing, processed",31,8,3,6,48
Strategic Leadership,Managerial control,"govern [governance, governing, governed] !government, governments",0,1,1,1,3
Horizon Scanning / Sense-making,Disruption/uncertainty,"disrupt [disruption, disruptive, disruptions, disruptor]",2,0,0,6,8
Horizon Scanning / Sense-making,Disruption/uncertainty,"uncertain [uncertainty, uncertainties]",3,1,4,6,14
Horizon Scanning / Sense-making,Disruption/uncertainty,"volatile [volatility, volatilities]",0,0,3,6,9
Horizon Scanning / Sense-making,Disruption/uncertainty,turbulent [turbulence],1,0,0,0,1
