company,industry,year,document_title,document_type,official_source,url,access_date,local_source_path,local_pdf_path,local_text_path,notes
amazon,Technology / digital platforms,1997,Amazon 1997 shareholder letter,shareholder_letter_html,About Amazon,https://www.aboutamazon.com/news/company-news/amazons-original-1997-letter-to-shareholders,2026-04-16,01_raw_sources/amazon/letters/amazon_1997_shareholder_letter.html,,02_extracted_text/amazon/amazon_1997_shareholder_letter.txt,Official standalone shareholder letter page; already exists.
amazon,Technology / digital platforms,2014,"Amazon Form 10-K annual report, fiscal 2014",annual_report_sec_filing,SEC EDGAR company filing,https://www.sec.gov/Archives/edgar/data/1018724/000101872415000006/amzn-20141231x10k.htm,2026-04-16,01_raw_sources/amazon/annual_reports/amazon_2014_sec_10k.html,,02_extracted_text/amazon/amazon_2014_sec_10k.txt,Downloaded from SEC EDGAR; accession 0001018724-15-000006; filing date 2015-01-30; downloaded 2252674 bytes.
amazon,Technology / digital platforms,2015,"Amazon Form 10-K annual report, fiscal 2015",annual_report_sec_filing,SEC EDGAR company filing,https://www.sec.gov/Archives/edgar/data/1018724/000101872416000172/amzn-20151231x10k.htm,2026-04-16,01_raw_sources/amazon/annual_reports/amazon_2015_sec_10k.html,,02_extracted_text/amazon/amazon_2015_sec_10k.txt,Downloaded from SEC EDGAR; accession 0001018724-16-000172; filing date 2016-01-29; downloaded 2205220 bytes.
amazon,Technology / digital platforms,2016,"Amazon Form 10-K annual report, fiscal 2016",annual_report_sec_filing,SEC EDGAR company filing,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000011/amzn-20161231x10k.htm,2026-04-16,01_raw_sources/amazon/annual_reports/amazon_2016_sec_10k.html,,02_extracted_text/amazon/amazon_2016_sec_10k.txt,Downloaded from SEC EDGAR; accession 0001018724-17-000011; filing date 2017-02-10; downloaded 2176442 bytes.
amazon,Technology / digital platforms,2016,Amazon 2016 shareholder letter,shareholder_letter_html,About Amazon,https://www.aboutamazon.com/news/company-news/2016-letter-to-shareholders,2026-04-16,01_raw_sources/amazon/letters/amazon_2016_shareholder_letter.html,,02_extracted_text/amazon/amazon_2016_shareholder_letter.txt,Official standalone shareholder letter page; already exists.
amazon,Technology / digital platforms,2017,"Amazon Form 10-K annual report, fiscal 2017",annual_report_sec_filing,SEC EDGAR company filing,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000005/amzn-20171231x10k.htm,2026-04-16,01_raw_sources/amazon/annual_reports/amazon_2017_sec_10k.html,,02_extracted_text/amazon/amazon_2017_sec_10k.txt,Downloaded from SEC EDGAR; accession 0001018724-18-000005; filing date 2018-02-02; downloaded 2159720 bytes.
amazon,Technology / digital platforms,2017,Amazon 2017 shareholder letter,shareholder_letter_html,About Amazon,https://www.aboutamazon.com/news/company-news/2017-letter-to-shareholders,2026-04-16,01_raw_sources/amazon/letters/amazon_2017_shareholder_letter.html,,02_extracted_text/amazon/amazon_2017_shareholder_letter.txt,Official standalone shareholder letter page; already exists.
amazon,Technology / digital platforms,2018,"Amazon Form 10-K annual report, fiscal 2018",annual_report_sec_filing,SEC EDGAR company filing,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000004/amzn-20181231x10k.htm,2026-04-16,01_raw_sources/amazon/annual_reports/amazon_2018_sec_10k.html,,02_extracted_text/amazon/amazon_2018_sec_10k.txt,Downloaded from SEC EDGAR; accession 0001018724-19-000004; filing date 2019-02-01; downloaded 2081096 bytes.
amazon,Technology / digital platforms,2018,Amazon 2018 shareholder letter,shareholder_letter_html,About Amazon,https://www.aboutamazon.com/news/company-news/2018-letter-to-shareholders,2026-04-16,01_raw_sources/amazon/letters/amazon_2018_shareholder_letter.html,,02_extracted_text/amazon/amazon_2018_shareholder_letter.txt,Official standalone shareholder letter page; already exists.
amazon,Technology / digital platforms,2019,"Amazon Form 10-K annual report, fiscal 2019",annual_report_sec_filing,SEC EDGAR company filing,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/amzn-20191231x10k.htm,2026-04-16,01_raw_sources/amazon/annual_reports/amazon_2019_sec_10k.html,,02_extracted_text/amazon/amazon_2019_sec_10k.txt,Downloaded from SEC EDGAR; accession 0001018724-20-000004; filing date 2020-01-31; downloaded 2689699 bytes.
