company,year,theme,subtheme,keyword,count
Amazon,1997,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",2
Amazon,2016,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",1
Amazon,2020,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",1
Amazon,2021,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Amazon,2022,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Amazon,2024,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Amazon,2025,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Chevron,2013,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Chevron,2018,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Chevron,2020,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Chevron,2021,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Chevron,2022,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Chevron,2023,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Chevron,2024,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Nvidia,2017,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",1
Nvidia,2018,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",1
Nvidia,2020,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",1
Nvidia,2021,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",2
Nvidia,2022,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",1
Nvidia,2023,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",1
Nvidia,2025,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",1
Shell,2014,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Shell,2015,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Shell,2016,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Shell,2020,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Shell,2022,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Shell,2024,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Shell,2025,Strategic Leadership,Founder/ownership mentality,"founder [founders, founding, founded] !found",0
Amazon,1997,Strategic Leadership,Founder/ownership mentality,ownership,0
Amazon,2016,Strategic Leadership,Founder/ownership mentality,ownership,0
Amazon,2020,Strategic Leadership,Founder/ownership mentality,ownership,0
Amazon,2021,Strategic Leadership,Founder/ownership mentality,ownership,0
Amazon,2022,Strategic Leadership,Founder/ownership mentality,ownership,0
Amazon,2024,Strategic Leadership,Founder/ownership mentality,ownership,1
