company,candidate_year,document_available,letter_marker_check,strategic_era,why_it_matters,decision
chevron,2001/2002,Not downloaded in current workspace; flagged as archival robustness candidate,Would need source download/verification before use,Texaco merger / supermajor consolidation candidate,Historically important consolidation era but too far from the paper current strategic-renewal window and less comparable to the selected Shell transition years,Not selected
chevron,2005,Not downloaded in current workspace; flagged as archival robustness candidate,Would need source download/verification before use,Unocal acquisition candidate,Useful older portfolio-renewal comparator but less central than 2013 as a pre-Wirth baseline connected to the current capital-discipline arc,Not selected
chevron,2008/2010,Not downloaded in current workspace; flagged as archival robustness candidate,Would need source download/verification before use,Financial-crisis / oil-price-cycle candidate,Potential stress-test baseline but would make the close-reading set more about macro cycle response than strategic renewal under current energy-transition pressures,Not selected
chevron,2011/2012,Not downloaded in current workspace; flagged as archival robustness candidate,Would need source download/verification before use,Immediate pre-2013 baseline candidate,Close alternative baseline but 2013 has stronger incumbent-mega-project and shale-era framing,Not selected
chevron,2013,Official Chevron annual-report PDF downloaded and extracted,Contains stockholder-letter markers and John S. Watson Chairman/CEO markers,Mega-project and shale-era capital logic,Good incumbent baseline before the Wirth era,Selected
chevron,2018,Official Chevron annual-report PDF downloaded and extracted,Contains To our stockholders and Michael K. Wirth signature markers,Mike Wirth CEO era begins,"Capital discipline, returns, Permian/LNG portfolio framing",Selected
chevron,2020,Official Chevron annual-report PDF downloaded and extracted,Contains To our stockholders and Michael K. Wirth signature markers,COVID downturn plus Noble acquisition,Crisis response and countercyclical portfolio option,Selected
chevron,2021,Official Chevron annual-report PDF downloaded and extracted,Contains To our stockholders and Michael K. Wirth signature markers,Recovery and post-Noble integration,Adds integration/recovery evidence after the 2020 crisis acquisition,Selected
chevron,2022,Official Chevron annual-report PDF downloaded and extracted from official URL pattern confirmed by user-provided 2022 link,Contains To our stockholders and Michael K. Wirth signature markers,Post-COVID energy security and capital discipline,"Captures energy-security, cash-return, and lower-carbon positioning in a high-price cycle",Selected
chevron,2023,Official Chevron annual-report PDF downloaded and extracted,Contains To our stockholders and Michael K. Wirth signature markers,Hess transaction announced,Captures a major portfolio option and long-cycle renewal before acquisition completion,Selected
chevron,2024,Official Chevron annual-report PDF downloaded and extracted,Contains To our stockholders and Michael K. Wirth signature markers,Lower-carbon/new-business language plus core growth,Best mature-era comparison with Shell 2024/2025,Selected
chevron,2025,SEC 10-K downloaded; official Chevron annual-report PDF URL returned HTTP 503 during audit,SEC filing available; official stockholder-letter PDF not available in workspace,Post-Hess completion candidate,Could become a future selected year when Chevron official annual-report PDF is accessible; not selected because the official letter PDF was unavailable,Not selected
