company,industry,selected_year,primary_selected_text,source_status,selection_logic
Amazon,Technology / digital platforms,1997,Amazon 1997 shareholder letter,Official shareholder letter HTML downloaded and extracted,"Founding strategic DNA: Day 1, customer obsession, long-term shareholder value, experimentation."
Amazon,Technology / digital platforms,2016,Amazon 2016 shareholder letter,Official shareholder letter HTML downloaded and extracted,"Day 1 vs Day 2: anti-bureaucracy, external trends, high-velocity decisions, organizational vitality."
Amazon,Technology / digital platforms,2020,Amazon 2020 shareholder letter,Official shareholder letter HTML downloaded and extracted,"Pandemic scale and Bezos final-letter era: stakeholder value, mature platform operations, AWS/Prime/Alexa scale."
Amazon,Technology / digital platforms,2021,Amazon 2021 shareholder letter,Official shareholder letter HTML downloaded and extracted,"First Andy Jassy shareholder letter: CEO transition, continuity, renewal, invention culture."
Amazon,Technology / digital platforms,2022,Amazon 2022 shareholder letter,Official shareholder letter HTML downloaded and extracted,"Post-pandemic recalibration: cost discipline, long-term investment logic, AWS and new-bet portfolio choices."
Amazon,Technology / digital platforms,2024,Amazon 2024 shareholder letter,Official shareholder letter HTML downloaded and extracted,"Mature platform renewal: generative AI, AWS reinvestment, efficiency, customer-led innovation."
Amazon,Technology / digital platforms,2025,Amazon 2025 shareholder letter,Official shareholder letter HTML downloaded and extracted,"Latest AI/infrastructure era: long-term AI bets, experimentation, platform scale, execution pressure."
Nvidia,Technology / digital platforms,2017,NVIDIA 2017 annual report / annual review,Official NVIDIA IR/Q4 CDN PDF downloaded and extracted; contains Jensen Huang CEO markers,AI platform expansion: reinforces ecosystem scaling after deep-learning inflection.
Nvidia,Technology / digital platforms,2018,NVIDIA 2018 annual report / annual review,Official NVIDIA IR/Q4 CDN PDF downloaded and extracted; contains Jensen Huang CEO markers,"Volatility and breadth: gaming/crypto reset context plus AI, automotive, and data-center option portfolio."
Nvidia,Technology / digital platforms,2020,NVIDIA 2020 annual report / annual review,Official NVIDIA IR/Q4 CDN PDF downloaded and extracted; contains CEO address markers,"Data-center expansion and platform renewal: Mellanox, accelerated computing, ecosystem leverage."
Nvidia,Technology / digital platforms,2021,NVIDIA 2021 annual report / annual review,Official NVIDIA IR/Q4 CDN PDF downloaded and extracted; contains CEO address markers,Platform breadth: Omniverse/AI ecosystem expansion and scaling beyond chips into full-stack computing.
Nvidia,Technology / digital platforms,2022,NVIDIA 2022 annual report / annual review,"Official NVIDIA IR/Q4 CDN PDF downloaded and extracted; contains Dear NVIDIANs letter signed by Jensen Huang, CEO and Founder","Supply-chain/geopolitical and platform breadth: resilience, ecosystem scaling, AI platform transition before the generative-AI demand shock."
Nvidia,Technology / digital platforms,2023,NVIDIA 2023 annual report / annual review,Official NVIDIA IR/Q4 CDN PDF downloaded and extracted; contains CEO address markers,"Generative AI takeoff: demand shock, full-stack AI positioning, explore-to-exploit transition."
Nvidia,Technology / digital platforms,2025,NVIDIA 2025 annual report plus standalone CEO letter,Official NVIDIA annual report and standalone CEO-letter PDF downloaded and extracted,"AI infrastructure scale: AI factory logic, ecosystem orchestration, supply/execution pressure, mature platform renewal."
Shell,Oil & gas / energy,2014,Shell Annual Report and Accounts 2014,Official Shell annual-report PDF downloaded and extracted; CEO-review material available,Pre-BG baseline: Ben van Beurden early CEO review before major portfolio renewal.
Shell,Oil & gas / energy,2015,Shell Annual Report and Accounts 2015,Official Shell annual-report PDF downloaded and extracted; contains CEO review and Ben van Beurden markers,BG acquisition and low-price reset: portfolio renewal under energy-market pressure.
Shell,Oil & gas / energy,2016,Shell Annual Report and Accounts 2016,Official Shell annual-report PDF downloaded and extracted; Chair/CEO strategic narrative available,"Post-BG integration: simplification, capital discipline, and portfolio execution after a major strategic choice."
