company,ipm_dimension,primary_years,evidence_summary,interpretive_claim,course_concepts,source_files
Amazon,Strategic Leadership,"1997; 2025","The letters frame leadership as long-term, customer-obsessed, willing to make bold investments, and comfortable with criticism during inflections.","Amazon uses leadership doctrine to legitimize entrepreneurial renewal inside a mature firm.","Strategic leadership; ambidextrous leadership; long-termism","02_extracted_text/selected_ceo_letters/amazon/amazon_1997_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/amazon/amazon_2025_ceo_letter.txt"
Amazon,Horizon Scanning / Sense-making,"1997; 2021; 2025","Amazon scans the Internet, pandemic disruption, cloud migration, AI, robotics, satellite broadband, and geopolitical turbulence.","Amazon turns external inflections into customer-facing opportunity spaces.","Horizon scanning; disruption; strategic renewal","02_extracted_text/selected_ceo_letters/amazon/amazon_1997_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/amazon/amazon_2021_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/amazon/amazon_2025_ceo_letter.txt"
Amazon,"Purpose, Vision, and Governance","1997; 2021","Customer value is the stable purpose claim; shareholder value is treated as the long-term result of customer value, scale, and reinvestment.","Amazon's governance story converts customer obsession into investor rationale.","Purpose/vision; customer vs shareholder; stakeholder responsibility","02_extracted_text/selected_ceo_letters/amazon/amazon_1997_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/amazon/amazon_2021_ceo_letter.txt"
Amazon,"Strategic Options, Experimentation, and Choices","2021; 2025","The letters describe working backwards, iterative invention, MLPs, autonomous teams, failure tolerance, parallel paths, AWS, devices, chips, robotics, grocery, and satellites.","Amazon has the clearest explicit experimentation architecture in the corpus.","Explore vs exploit; experimentation; strategic options; 4Ps of innovation","02_extracted_text/selected_ceo_letters/amazon/amazon_2021_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/amazon/amazon_2025_ceo_letter.txt"
Amazon,Agile Execution and Organization,"2021; 2025","Execution appears through fulfillment infrastructure, AWS capacity, robotics, separable teams, speed, organizational flattening, and rapid service rebuilding.","Amazon's agility is organizational and infrastructural, not just cultural rhetoric.","Agile execution; scaling; ambidexterity; Greiner growth tensions","02_extracted_text/selected_ceo_letters/amazon/amazon_2021_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/amazon/amazon_2025_ceo_letter.txt"
Nvidia,Strategic Leadership,"2017; 2025","Nvidia frames itself as a technical leader that repeatedly reinvents from chips to platforms to full-stack AI infrastructure.","Nvidia's leadership model is founder-led technical conviction and strategic self-redefinition.","Strategic leadership; strategic renewal; ecosystem logic","02_extracted_text/selected_ceo_letters/nvidia/nvidia_2017_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/nvidia/nvidia_2025_ceo_letter.txt"
Nvidia,Horizon Scanning / Sense-making,"2020; 2025","The letters scan GPU computing, accelerated computing, AI, edge AI, inference, agentic AI, physical AI, sovereign AI, and AI factories.","Nvidia's strongest IPM dimension is technology sense-making around waves of computing.","Horizon scanning; industry disruption; long-termism","02_extracted_text/selected_ceo_letters/nvidia/nvidia_2020_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/nvidia/nvidia_2025_ceo_letter.txt"
Nvidia,"Purpose, Vision, and Governance","2017; 2025","Nvidia frames purpose through enabling developers, enterprises, researchers, countries, cloud providers, and industries.","Nvidia's purpose is ecosystem enablement rather than Amazon-style customer obsession.","Purpose/vision; ecosystem logic; platform strategy","02_extracted_text/selected_ceo_letters/nvidia/nvidia_2017_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/nvidia/nvidia_2025_ceo_letter.txt"
Nvidia,"Strategic Options, Experimentation, and Choices","2020; 2025","Options are architectural: GPUs, CPUs, networking, software, NIMs, AI Blueprints, models, data-center systems, autonomous systems, and partnerships.","Nvidia explores by expanding the stack and orchestrating complementary assets.","Strategic options; ecosystem logic; internal invention vs external partnership","02_extracted_text/selected_ceo_letters/nvidia/nvidia_2020_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/nvidia/nvidia_2025_ceo_letter.txt"
Nvidia,Agile Execution and Organization,"2023; 2025","Execution appears through product ramps, engineering scale, supply commitments, deployment tools, and customer continuity.","Nvidia's agility is high-speed ecosystem execution rather than small experimental cycles.","Agile execution; scaling; ambidexterity","02_extracted_text/selected_ceo_letters/nvidia/nvidia_2023_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/nvidia/nvidia_2025_ceo_letter.txt"
Shell,Strategic Leadership,"2015; 2016; 2020; 2025","Shell frames leadership through safety, responsibility, capital discipline, resilience, performance, simplification, and transformation under constraint.","Shell's leadership posture is stewardship plus strategic renewal under energy-transition pressure.","Strategic leadership; incumbency; ambidexterity","02_extracted_text/selected_ceo_letters/shell/shell_2015_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/shell/shell_2016_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/shell/shell_2020_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/shell/shell_2025_ceo_letter.txt"
Shell,Horizon Scanning / Sense-making,"2020; 2025","Shell scans climate change, the low-carbon energy system, policy stability, geopolitics, AI, customer decarbonization, and long-term energy demand.","Shell reads disruption as a socio-technical and policy-mediated transition, not only a technology opportunity.","Horizon scanning; regulation; energy transition; strategic renewal","02_extracted_text/selected_ceo_letters/shell/shell_2020_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/shell/shell_2025_ceo_letter.txt"
Shell,"Purpose, Vision, and Governance","2020; 2025","The letters link shareholder value, net-zero ambition, powering lives, respecting nature, trust, and more value with less emissions.","Shell's governance challenge is reconciling investor returns with climate-transition legitimacy.","Purpose/governance; stakeholder tension; ambidextrous leadership","02_extracted_text/selected_ceo_letters/shell/shell_2020_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/shell/shell_2025_ceo_letter.txt"
Shell,"Strategic Options, Experimentation, and Choices","2016; 2020; 2025","Options include BG/LNG, hydrogen, CCS, SAF, renewable power, digital tools, divestments, and stopping projects that fail competitiveness tests.","Shell explores through portfolio choices and pruning rather than open-ended experimentation.","Strategic options; portfolio logic; explore vs exploit","02_extracted_text/selected_ceo_letters/shell/shell_2016_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/shell/shell_2020_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/shell/shell_2025_ceo_letter.txt"
Shell,Agile Execution and Organization,"2020; 2025","Execution appears through reorganization, simplification, cost reduction, faster decisions, trading/optimization, and safe operations.","Shell's agility is disciplined reconfiguration of a complex asset organization.","Agile execution; Greiner growth model; organizational inertia","02_extracted_text/selected_ceo_letters/shell/shell_2020_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/shell/shell_2025_ceo_letter.txt"
Chevron,Strategic Leadership,"2013; 2018","Chevron frames leadership through operational excellence, safety, reliability, financial discipline, and capital stewardship.","Chevron's leadership model is disciplined continuity with selective renewal.","Strategic leadership; operational excellence; exploit vs explore","02_extracted_text/selected_ceo_letters/chevron/chevron_2013_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/chevron/chevron_2018_ceo_letter.txt"
Chevron,Horizon Scanning / Sense-making,"2018; 2024","Chevron scans energy demand, commodity cycles, geopolitics, energy security, climate concerns, lower-carbon opportunities, and AI/data-center power demand.","Chevron interprets disruption through energy reliability and demand growth rather than platform disruption.","Horizon scanning; industry context; energy security","02_extracted_text/selected_ceo_letters/chevron/chevron_2018_ceo_letter.txt; 02_extracted_text/selected_ceo_letters/chevron/chevron_2024_ceo_letter.txt"
