company,candidate_year,document_available,letter_marker_check,strategic_era,why_it_matters,decision
amazon,1997,Official Amazon shareholder-letter page downloaded and extracted,Standalone shareholder letter available,Founding strategic DNA,"Day 1, long-term shareholder value, customer obsession, rapid experimentation",Selected
amazon,2006,SEC annual filing downloaded; no standalone official shareholder letter captured in current archive,Letter boundary not clean in current workspace,AWS/cloud infrastructure emergence,Useful strategic inflection but weaker as a CEO/shareholder-letter text than selected years,Not selected
amazon,2016,Official Amazon shareholder-letter page downloaded and extracted,Standalone shareholder letter available,Day 1 vs Day 2 and organizational vitality,"Strong CE fit: anti-bureaucracy, external trends, high-velocity decisions",Selected
amazon,2017,Official Amazon shareholder-letter page downloaded and extracted,Standalone shareholder letter available,Alexa/Prime/AWS scale era,Substantive but overlaps with 2016 Day 1 organizational logic,Not selected
amazon,2020,Official Amazon shareholder-letter page downloaded and extracted,Standalone shareholder letter available,Pandemic scale and Bezos final-letter era,"Captures mature platform scale, stakeholder value, crisis response, and Bezos-era closure",Selected
amazon,2021,Official Amazon shareholder-letter page downloaded and extracted,Standalone shareholder letter available,CEO transition to Andy Jassy,First Jassy shareholder letter; continuity and renewal after Bezos,Selected
amazon,2022,Official Amazon shareholder-letter page downloaded and extracted,Standalone shareholder letter available,Post-pandemic recalibration,"Captures cost discipline, long-term investment, AWS, and portfolio-choice language",Selected
amazon,2023,Official Amazon shareholder-letter page available in archive if needed,Would require download/extraction if promoted,GenAI and efficiency acceleration,Useful adjacent year but less necessary once 2024 and 2025 are selected as stronger AI/platform-renewal texts,Not selected
amazon,2024,Official Amazon shareholder-letter page downloaded and extracted,Standalone shareholder letter available,AI/platform reinvestment era,"Captures generative AI, AWS, cost discipline, and mature platform renewal",Selected
amazon,2025,Official Amazon shareholder-letter page downloaded and extracted,Standalone shareholder letter available,Newest AI/infrastructure letter,"Adds latest strategic language on AI, infrastructure, experimentation, and mature platform execution",Selected
