company,year,title,selected_text_type,source_text_path,source_line_range,extracted_letter_path,word_count,notes
Amazon,1997,Amazon 1997 shareholder letter,standalone shareholder letter,02_extracted_text/amazon/amazon_1997_shareholder_letter.txt,1-46,02_extracted_text/selected_ceo_letters/amazon/amazon_1997_ceo_letter.txt,1644,Official standalone Amazon shareholder-letter text; archive/navigation after CEO signature excluded.
Amazon,2016,Amazon 2016 shareholder letter,standalone shareholder letter,02_extracted_text/amazon/amazon_2016_shareholder_letter.txt,1-68,02_extracted_text/selected_ceo_letters/amazon/amazon_2016_ceo_letter.txt,1829,Official standalone Amazon shareholder-letter text; archive/navigation after CEO signature excluded.
Amazon,2020,Amazon 2020 shareholder letter,standalone shareholder letter,02_extracted_text/amazon/amazon_2020_shareholder_letter.txt,1-76,02_extracted_text/selected_ceo_letters/amazon/amazon_2020_ceo_letter.txt,4143,Official standalone Amazon shareholder-letter text; archive/navigation after CEO signature excluded.
Amazon,2021,Amazon 2021 shareholder letter,standalone shareholder letter,02_extracted_text/amazon/amazon_2021_shareholder_letter.txt,1-78,02_extracted_text/selected_ceo_letters/amazon/amazon_2021_ceo_letter.txt,4618,Official standalone Amazon shareholder-letter text; archive/navigation after CEO signature excluded.
Amazon,2022,Amazon 2022 shareholder letter,standalone shareholder letter,02_extracted_text/amazon/amazon_2022_shareholder_letter.txt,1-60,02_extracted_text/selected_ceo_letters/amazon/amazon_2022_ceo_letter.txt,5251,Official standalone Amazon shareholder-letter text; archive/navigation after CEO signature excluded.
Amazon,2024,Amazon 2024 shareholder letter,standalone shareholder letter,02_extracted_text/amazon/amazon_2024_shareholder_letter.txt,1-104,02_extracted_text/selected_ceo_letters/amazon/amazon_2024_ceo_letter.txt,5171,Official standalone Amazon shareholder-letter text; archive/navigation after CEO signature excluded.
Amazon,2025,Amazon 2025 shareholder letter,standalone shareholder letter,02_extracted_text/amazon/amazon_2025_shareholder_letter.txt,1-77,02_extracted_text/selected_ceo_letters/amazon/amazon_2025_ceo_letter.txt,5214,Official standalone Amazon shareholder-letter text; archive/navigation after CEO signature excluded.
Nvidia,2017,NVIDIA 2017 CEO/stakeholder letter,CEO/stakeholder letter,02_extracted_text/nvidia/nvidia_2017_annual_report.txt,173-356,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2017_ceo_letter.txt,851,Official annual-review letter signed by Jensen Huang. Page 8 philanthropy section restored 2026-05-11; two-column section headers separated.
Nvidia,2018,NVIDIA 2018 CEO/stakeholder letter,CEO/stakeholder letter,02_extracted_text/nvidia/nvidia_2018_annual_report.txt,155-423,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2018_ceo_letter.txt,1306,Official annual-review letter signed by Jensen Huang. Unicode fi ligatures (U+FB01) corrected.
Nvidia,2020,NVIDIA 2020 CEO/stakeholder letter,CEO/stakeholder letter,02_extracted_text/nvidia/nvidia_2020_annual_report.txt,114-634 (body); 635-660 (closing),02_extracted_text/selected_ceo_letters/nvidia/nvidia_2020_ceo_letter.txt,2962,Official annual-review letter signed by Jensen Huang. Section order corrected and missing sections restored 2026-05-13: NVIDIA AI + NVIDIA AI for Inference + CARING FOR OUR COMMUNITIES sections added; closing section (deep domain expertise...Stay tuned) restored.
Nvidia,2021,NVIDIA 2021 CEO/stakeholder letter,CEO/stakeholder letter,02_extracted_text/nvidia/nvidia_2021_annual_report.txt,257-734,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2021_ceo_letter.txt,3285,Official annual-review letter signed by Jensen Huang.
Nvidia,2022,NVIDIA 2022 CEO/stakeholder letter,CEO/stakeholder letter,02_extracted_text/nvidia/nvidia_2022_annual_report.txt,220-587,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2022_ceo_letter.txt,2107,Official annual-review letter signed by Jensen Huang.
Nvidia,2023,NVIDIA 2023 CEO/stakeholder letter,CEO/stakeholder letter,02_extracted_text/nvidia/nvidia_2023_annual_report.txt,238-677,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2023_ceo_letter.txt,2531,Official annual-review letter signed by Jensen Huang.
Nvidia,2025,NVIDIA 2025 standalone CEO letter,CEO/stakeholder letter,02_extracted_text/nvidia/nvidia_2025_ceo_letter.txt,175-1193,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2025_ceo_letter.txt,3251,Official standalone CEO-letter PDF signed by Jensen Huang. Preamble (lines 175-239) and GTC 2025 section (lines 245-296) restored 2026-05-13.
Shell,2014,Shell 2014 Chief Executive Officer review,annual-report CEO review,02_extracted_text/shell/shell_2014_annual_report.txt,508-641,02_extracted_text/selected_ceo_letters/shell/shell_2014_ceo_letter.txt,1198,Official annual-report Chief Executive Officer review; Chair message and later business sections excluded.
Shell,2015,Shell 2015 Chief Executive Officer review,annual-report CEO review,02_extracted_text/shell/shell_2015_annual_report.txt,620-701,02_extracted_text/selected_ceo_letters/shell/shell_2015_ceo_letter.txt,777,Official annual-report Chief Executive Officer review; Chair message and risk factors excluded.
Shell,2016,Shell 2016 Chief Executive Officer review,annual-report CEO review,02_extracted_text/shell/shell_2016_annual_report.txt,custom: heading from line 595 plus body/signature from lines 506-594,02_extracted_text/selected_ceo_letters/shell/shell_2016_ceo_letter.txt,948,PDF text extraction places the CEO review heading after the signed body; extracted body and signature retained for review.
Shell,2020,Shell 2020 Chief Executive Officer review,annual-report CEO review,02_extracted_text/shell/shell_2020_annual_report.txt,523-643,02_extracted_text/selected_ceo_letters/shell/shell_2020_ceo_letter.txt,1128,Official annual-report Chief Executive Officer review; includes continuation across the page break.
Shell,2022,Shell 2022 Chief Executive Officer review,annual-report CEO review,02_extracted_text/shell/shell_2022_annual_report.txt,670-823,02_extracted_text/selected_ceo_letters/shell/shell_2022_ceo_letter.txt,1388,Official annual-report Chief Executive Officer review; Chair message excluded.
