company,candidate_year,document_available,narrative_marker_check,strategic_era,why_it_matters,decision
nvidia,2011,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Annual-review narrative material; CEO letter not cleanly isolated by text extraction,Pre-deep-learning baseline,Useful as pre-AI acceleration context but weaker for a clean CEO-letter corpus,Not selected
nvidia,2012,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Annual-review narrative material; CEO letter not cleanly isolated by text extraction,Pre-deep-learning baseline,Useful long-run baseline but less analytically central than later GPU-computing inflections,Not selected
nvidia,2013,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Annual-review narrative material; CEO letter not cleanly isolated by text extraction,Early accelerated-computing expansion,Large report with useful context but less cleanly bounded as a CEO-letter text,Not selected
nvidia,2014,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Annual-review narrative material; CEO letter not cleanly isolated by text extraction,Mobile/cloud/visual-computing transition,Relevant context but weaker as a selected letter because the CEO address boundary is less clear,Not selected
nvidia,2015,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Annual-review narrative material; CEO letter not cleanly isolated by text extraction,Early AI and automotive positioning,Good runway context but 2016 gives a clearer CEO/stakeholder narrative,Not selected
nvidia,2016,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Contains clear CEO-letter/narrative address language,Deep learning/platform acceleration,"Has a Dear NVIDIANs and Stakeholders annual-review section, but the letter section is not cleanly signed by Jensen Huang; retained as background rather than selected under the stricter CEO-letter rule",Not selected
nvidia,2017,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Contains Jensen Huang CEO and founder markers,AI platform expansion,Adds a second early AI-platform text after the 2016 inflection for a 7-letter corpus,Selected
nvidia,2018,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Contains Jensen Huang CEO and founder markers,Gaming/crypto volatility and AI breadth,Captures volatility and portfolio breadth before the data-center/generative-AI acceleration,Selected
nvidia,2019,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Contains clear CEO-letter/narrative address language,Post-crypto reset and data-center buildup,Good bridge year but less distinctive than 2020 Mellanox/data-center expansion,Not selected
nvidia,2020,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Contains clear CEO-letter/narrative address language,Mellanox and data-center expansion,Shows strategic renewal from graphics to accelerated computing ecosystem and data-center platform logic,Selected
nvidia,2021,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Contains clear CEO-letter/narrative address language,Omniverse/AI platform breadth,Adds platform-breadth and ecosystem-scaling evidence between Mellanox and generative AI,Selected
nvidia,2022,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Contains clear CEO-letter/narrative address language,Supply-chain/geopolitical and platform breadth,Clean Dear NVIDIANs letter signed by Jensen Huang as CEO and Founder; adds supply-chain/geopolitical and platform-breadth context before the generative-AI shock,Selected
nvidia,2023,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Contains clear CEO-letter/narrative address language,Generative AI takeoff,Captures demand shock and full-stack AI positioning,Selected
nvidia,2024,Official NVIDIA IR/Q4 CDN annual report PDF downloaded and extracted,Contains clear CEO-letter/narrative address language,AI factory / mature dominance,Strong mature-scaling year but 2025 has a cleaner standalone CEO-letter source and later strategic reflection,Not selected
nvidia,2025,Official NVIDIA IR/Q4 CDN annual report PDF and standalone CEO-letter PDF downloaded and extracted,Contains clear Jensen Huang CEO-letter/narrative address language,AI infrastructure scale and mature platform renewal,Best latest NVIDIA CEO-letter text; captures AI factory logic ecosystem scale and execution pressure after the generative-AI takeoff,Selected
