company,year,selected_text_type,document_type,local_text_path,availability_status,evidence_markers,notes
Amazon,1997,standalone shareholder letter HTML,shareholder_letter_html,02_extracted_text/amazon/amazon_1997_shareholder_letter.txt,Confirmed CEO/shareholder letter available,shareholder greeting: line 1: To our shareholders: | CEO signature: line 45: Jeffrey P. Bezos | CEO title: line 46: Founder and Chief Executive Officer,"Official standalone shareholder letter, signed by CEO/founder or CEO."
Amazon,2016,standalone shareholder letter HTML,shareholder_letter_html,02_extracted_text/amazon/amazon_2016_shareholder_letter.txt,Confirmed CEO/shareholder letter available,"letter closing: line 64: Sincerely, | CEO signature: line 65: Jeff | CEO title: line 67: Founder and Chief Executive Officer","Official standalone shareholder letter, signed by CEO/founder or CEO."
Amazon,2020,standalone shareholder letter HTML,shareholder_letter_html,02_extracted_text/amazon/amazon_2020_shareholder_letter.txt,Confirmed CEO/shareholder letter available,shareholder greeting: line 78: To our shareholders: | CEO signature: line 120: Jeffrey P. Bezos | CEO title: line 121: Founder and Chief Executive Officer,"Official standalone shareholder letter, signed by CEO/founder or CEO."
Amazon,2021,standalone shareholder letter HTML,shareholder_letter_html,02_extracted_text/amazon/amazon_2021_shareholder_letter.txt,Confirmed CEO/shareholder letter available,shareholder greeting: line 1: Dear shareholders: | CEO signature: line 77: Andy Jassy | CEO title: line 78: President and Chief Executive Officer,"Official standalone shareholder letter, signed by CEO/founder or CEO."
Amazon,2022,standalone shareholder letter HTML,shareholder_letter_html,02_extracted_text/amazon/amazon_2022_shareholder_letter.txt,Confirmed CEO/shareholder letter available,shareholder greeting: line 1: Dear shareholders: | CEO signature: line 59: Andy Jassy | CEO title: line 60: President and Chief Executive Officer,"Official standalone shareholder letter, signed by CEO/founder or CEO."
Amazon,2024,standalone shareholder letter HTML,shareholder_letter_html,02_extracted_text/amazon/amazon_2024_shareholder_letter.txt,Confirmed CEO/shareholder letter available,shareholder greeting: line 1: Dear Shareholders: | CEO signature: line 103: Andy Jassy | CEO title: line 104: President and Chief Executive Officer,"Official standalone shareholder letter, signed by CEO/founder or CEO."
Amazon,2025,standalone shareholder letter HTML,shareholder_letter_html,02_extracted_text/amazon/amazon_2025_shareholder_letter.txt,Confirmed CEO/shareholder letter available,shareholder greeting: line 1: Dear Shareholders: | CEO signature: line 76: Andy Jassy | CEO title: line 77: President and Chief Executive Officer,"Official standalone shareholder letter, signed by CEO/founder or CEO."
Nvidia,2017,annual-report CEO letter,annual_report_pdf,02_extracted_text/nvidia/nvidia_2017_annual_report.txt,Confirmed CEO/shareholder letter available,"letter greeting: line 173: DEAR NVIDIANS AND STAKEHOLDERS, | CEO signature: line 354: Jensen Huang | CEO title: line 355: CEO and Founder, NVIDIA","Official NVIDIA annual review CEO/stakeholder letter, signed by Jensen Huang; 2025 also has standalone CEO-letter PDF."
Nvidia,2018,annual-report CEO letter,annual_report_pdf,02_extracted_text/nvidia/nvidia_2018_annual_report.txt,Confirmed CEO/shareholder letter available,"letter greeting: line 155: DEAR NVIDIANS AND STAKEHOLDERS, | CEO signature: line 421: Jensen Huang | CEO title: line 422: CEO and Founder, NVIDIA","Official NVIDIA annual review CEO/stakeholder letter, signed by Jensen Huang; 2025 also has standalone CEO-letter PDF."
Nvidia,2020,annual-report CEO letter,annual_report_pdf,02_extracted_text/nvidia/nvidia_2020_annual_report.txt,Confirmed CEO/shareholder letter available,"letter greeting: line 114: DEAR NVIDIANS | CEO signature: line 632: Jensen Huang | CEO title: line 633: CEO and Founder, NVIDIA","Official NVIDIA annual review CEO/stakeholder letter, signed by Jensen Huang; 2025 also has standalone CEO-letter PDF."
Nvidia,2021,annual-report CEO letter,annual_report_pdf,02_extracted_text/nvidia/nvidia_2021_annual_report.txt,Confirmed CEO/shareholder letter available,"letter greeting: line 257: DEAR NVIDIANS | CEO signature: line 732: Jensen Huang | CEO title: line 733: CEO and Founder, NVIDIA","Official NVIDIA annual review CEO/stakeholder letter, signed by Jensen Huang; 2025 also has standalone CEO-letter PDF."
Nvidia,2022,annual-report CEO letter,annual_report_pdf,02_extracted_text/nvidia/nvidia_2022_annual_report.txt,Confirmed CEO/shareholder letter available,"letter greeting: line 220: DEAR NVIDIANS | CEO signature: line 585: Jensen Huang | CEO title: line 586: CEO and Founder, NVIDIA","Official NVIDIA annual review CEO/stakeholder letter, signed by Jensen Huang; 2025 also has standalone CEO-letter PDF."
Nvidia,2023,annual-report CEO letter,annual_report_pdf,02_extracted_text/nvidia/nvidia_2023_annual_report.txt,Confirmed CEO/shareholder letter available,"letter greeting: line 238: Dear NVIDIANs | CEO signature: line 675: Jensen Huang | CEO title: line 676: CEO and Founder, NVIDIA","Official NVIDIA annual review CEO/stakeholder letter, signed by Jensen Huang; 2025 also has standalone CEO-letter PDF."
Nvidia,2025,standalone CEO-letter PDF,ceo_letter_pdf,02_extracted_text/nvidia/nvidia_2025_ceo_letter.txt,Confirmed CEO/shareholder letter available,"letter greeting: line 240: Dear NVIDIANs | CEO signature: line 1191: Jensen Huang | CEO title: line 1192: CEO and Founder, NVIDIA","Official NVIDIA annual review CEO/stakeholder letter, signed by Jensen Huang; 2025 also has standalone CEO-letter PDF."
Shell,2014,annual-report CEO/chair section,annual_report_pdf,02_extracted_text/shell/shell_2014_annual_report.txt,Confirmed CEO/shareholder letter available,CEO review section: line 15: 07 Chief Executive Officer’s review | CEO name: line 640: Ben van Beurden | CEO title: line 641: Chief Executive Officer,"Official annual-report Chair message / Chief Executive Officer review. This is not a separate standalone PDF letter, but it is the official CEO/chair strategic letter section."
