company,candidate_year,document_available,letter_marker_check,strategic_era,why_it_matters,decision
shell,2005,Not downloaded in current workspace; flagged as archival robustness candidate,Would need source download/verification before use,Royal Dutch/Shell unification candidate,Historically important governance/restructuring year but would pull the paper toward corporate-history analysis rather than current energy-transition renewal,Not selected
shell,2010,Not downloaded in current workspace; flagged as archival robustness candidate,Would need source download/verification before use,Post-financial-crisis energy-cycle context,Useful older energy-cycle baseline but less directly tied to the BG/transition/governance arc of the current paper,Not selected
shell,2014,Official Shell annual-report PDF downloaded and extracted,Contains Chief Executive Officer review material and Ben van Beurden markers,Clean pre-BG baseline,Immediate pre-BG baseline and early Ben van Beurden strategic framing,Selected
shell,2015,Official Shell annual-report PDF downloaded and extracted,Contains CHIEF EXECUTIVE OFFICER review and Ben van Beurden markers,BG acquisition and low-price reset,Strategic portfolio renewal under energy-market pressure,Selected
shell,2016,Official Shell annual-report PDF downloaded and extracted,Contains Chair/CEO strategic narrative material,Post-BG integration,"Shows integration, simplification, and execution after the major portfolio bet",Selected
shell,2020,Official Shell annual-report PDF downloaded and extracted,Contains Chair message and Chief Executive Officer review,"COVID, dividend reset, energy transition",Crisis plus strategic renewal,Selected
shell,2021,Official Shell annual-report PDF downloaded and extracted,Contains chair/CEO-review style annual-report narrative,Powering Progress,Important transition year but 2022 better captures renamed Shell plc structure and energy-security shock,Not selected
shell,2022,Official Shell annual-report PDF downloaded and extracted,Contains Chair message and Chief Executive Officer review,Shell plc and energy-security shock,Governance/identity shift plus Russia/energy-market disruption,Selected
shell,2023,Official Shell annual-report PDF available in workspace,Contains Chair/CEO strategic narrative material,Sawan strategy reset year,Useful adjacent year but 2024 and 2025 give a cleaner mature Sawan-era execution sequence,Not selected
shell,2024,Official Shell annual-report PDF downloaded and extracted,Contains Chair message and Chief Executive Officer review,Capital discipline and transition pragmatism,Mature reinvention under investor and policy pressure,Selected
shell,2025,Official Shell annual-report PDF downloaded and extracted,Contains Chair message and Chief Executive Officer review,Latest Sawan-era execution,"Adds latest capital-discipline, LNG, transition-pragmatism, and shareholder-return framing",Selected
